time,open,high,low,close,Volume,Volume MA
-429273000,44.619999,44.619999,44.619999,44.619999,2570000,2435500
-429013800,44.099998,44.099998,44.099998,44.099998,2780000,2438000
-428927400,45.110001,45.110001,45.110001,45.110001,2430000,2434500
-428754600,45.200001,45.200001,45.200001,45.200001,2020000,2413500
-428668200,45.580002,45.580002,45.580002,45.580002,1440000,2353500
-428409000,45.849998,45.849998,45.849998,45.849998,1500000,2285500
-428322600,45.860001,45.860001,45.860001,45.860001,1650000,2240500
-428236200,45.630001,45.630001,45.630001,45.630001,1460000,2191500
-428149800,45.990002,45.990002,45.990002,45.990002,1630000,2145500
-428063400,45.139999,45.139999,45.139999,45.139999,3630000,2184500
-427804200,45.709999,45.709999,45.709999,45.709999,2000000,2162000
-427717800,46.360001,46.360001,46.360001,46.360001,1900000,2135000
-427631400,46.419998,46.419998,46.419998,46.419998,1760000,2090500
-427545000,46.310001,46.310001,46.310001,46.310001,1670000,2070000
-427458600,46.369999,46.369999,46.369999,46.369999,1550000,2049000
-427199400,46.169998,46.169998,46.169998,46.169998,1440000,2020000
-427113000,46.220001,46.220001,46.220001,46.220001,1430000,1994500
-427026600,46.41,46.41,46.41,46.41,1670000,1963500
-426940200,46.73,46.73,46.73,46.73,1820000,1947500
-426853800,46.59,46.59,46.59,46.59,1630000,1899000
-426594600,46.41,46.41,46.41,46.41,1500000,1845500
-426508200,46.720001,46.720001,46.720001,46.720001,1730000,1793000
-426421800,47.07,47.07,47.07,47.07,2090000,1776000
-426335400,47.130001,47.130001,47.130001,47.130001,1900000,1770000
-426249000,46.970001,46.970001,46.970001,46.970001,1780000,1787000
-425989800,46.93,46.93,46.93,46.93,1610000,1792500
-425903400,47.32,47.32,47.32,47.32,1840000,1802000
-425730600,47.799999,47.799999,47.799999,47.799999,2240000,1841000
-425644200,48.040001,48.040001,48.040001,48.040001,2180000,1868500
-425385000,48.25,48.25,48.25,48.25,2180000,1796000
-425298600,48.540001,48.540001,48.540001,48.540001,2450000,1818500
-425212200,48.689999,48.689999,48.689999,48.689999,2520000,1849500
-425125800,48.580002,48.580002,48.580002,48.580002,2180000,1870500
-425039400,48.720001,48.720001,48.720001,48.720001,2020000,1888000
-424780200,49.139999,49.139999,49.139999,49.139999,2260000,1923500
-424693800,49.310001,49.310001,49.310001,49.310001,2520000,1977500
-424607400,49.299999,49.299999,49.299999,49.299999,2530000,2032500
-424521000,49.32,49.32,49.32,49.32,1950000,2046500
-424434600,49.349998,49.349998,49.349998,49.349998,2020000,2056500
-424175400,49.330002,49.330002,49.330002,49.330002,1970000,2073500
-424089000,49.330002,49.330002,49.330002,49.330002,2040000,2100500
-424002600,49.439999,49.439999,49.439999,49.439999,2220000,2125000
-423916200,49.48,49.48,49.48,49.48,2060000,2123500
-423829800,49.080002,49.080002,49.080002,49.080002,2240000,2140500
-423570600,49,49,49,49,2100000,2156500
-423484200,49.389999,49.389999,49.389999,49.389999,2520000,2202000
-423397800,49.619999,49.619999,49.619999,49.619999,2230000,2221500
-423311400,49.639999,49.639999,49.639999,49.639999,2530000,2236000
-423225000,49.639999,49.639999,49.639999,49.639999,2210000,2237500
-422965800,48.959999,48.959999,48.959999,48.959999,2280000,2242500
-422879400,49.16,49.16,49.16,49.16,2180000,2229000
-422793000,49.360001,49.360001,49.360001,49.360001,2480000,2227000
-422706600,49.32,49.32,49.32,49.32,2550000,2245500
-422620200,49.09,49.09,49.09,49.09,2040000,2246500
-422361000,48.580002,48.580002,48.580002,48.580002,1730000,2220000
-422274600,48,48,48,48,1790000,2183500
-422188200,48.990002,48.990002,48.990002,48.990002,2000000,2157000
-422101800,48.880001,48.880001,48.880001,48.880001,1790000,2149000
-422015400,48.82,48.82,48.82,48.82,1720000,2134000
-421756200,48.25,48.25,48.25,48.25,1770000,2124000
-421669800,47.889999,47.889999,47.889999,47.889999,2440000,2144000
-421583400,47.419998,47.419998,47.419998,47.419998,1570000,2111500
-421497000,48,48,48,48,1590000,2088000
-421410600,47.950001,47.950001,47.950001,47.950001,1530000,2052500
-421151400,47.66,47.66,47.66,47.66,1420000,2018500
-421065000,47.57,47.57,47.57,47.57,1400000,1962500
-420978600,47.360001,47.360001,47.360001,47.360001,1530000,1927500
-420892200,46.939999,46.939999,46.939999,46.939999,2050000,1903500
-420805800,47.509998,47.509998,47.509998,47.509998,1620000,1874000
-420460200,47.889999,47.889999,47.889999,47.889999,1790000,1849500
